ch,yue
灵,ling
灵,leng
灵屋,leng uk
灵擎,leng keng
灵擎,ling keng
灵灰,leng fui
灵灰,ling fui
灵长,ling zoeng
灶,zou
灷,zyun
灸,gau
灹,zaa
灺,ce
灺,se
灻,cek
灼,coek
灼,zoek
災,zoi
灾,zoi
灿,caan
炀,joeng
炁,hei
炂,zung
炃,ban
炃,fan
炄,nau
炅,gwai
炅,gwing
炆,man
炇,pok
炈,jik
炉,lou
炉顶,lou deng
炊,ceoi
炋,pui
炌,kaai
炍,pun
炎,jim
炏,kaai
炐,pong
炑,muk
炒,caau
炒粒粒,caau lap lap
炒粒粒,caau nap nap
炓,tau
炓,liu
炔,kyut
炔,gwai
炔,gai
炕,kong
炕,hong
炕沙,hong saa
炕面包,hong min baau
炕麪包,hong min baau
炖,dan
炖,deon
炖煌,deon wong
炗,gong
炗,gwong
炘,jan
炙,zek
炙,zik
炚,gwong
炛,gong
炛,gwong
炜,wai
炝,coeng
炞,bin
炟,daat
炠,saap
炡,zing
炢,seot
炣,ho
炤,ciu
炤,ziu
炥,fat
炦,bat
炧,ce
炧,se
炨,se
炩,ling
炪,dyut
炫,jyun
炬,geoi
炭,taan
炭水化合物,taan seoi faa hap mat
炮,paau
炮,baau
炮仗領,paau zoeng leng
炮仗领,paau zoeng leng
炯,gwing
炰,paau
炱,toi
炲,toi
炳,bing
炴,joeng
炵,dung
炵,tung
炶,sim
炷,zyu
炸,zaa
点,dim
点只,dim zi
点名,dim meng
点吖,dim a
点吖,dim aa
点呢,dim ne
点好呢,dim hou ne
点画,dim waak
点算好呢,dim syun hou ne
点醒,dim seng
点醒,dim sing
点金石,dim gam sek
点零钟,dim leng zung
為,wai
炻,sek
炼,lin
炽,ci
炾,fong
炿,zau
烀,fu
烁,soek
烁,lik
烁,lok
烂,laan
烂命,laan meng
烂命,laan ming
烂困,laan fan
烂巿,laan si
烂平烂贱,laan peng laan zin
烂泥扶唔上壁,laan nai fu m soeng bek
烂炖炖,laan tan tan
烂生,laan saang
烂跶跶,laan daat daat
烂醒,laan seng
烃,ting
烃,ging
烄,gaau
烅,kwik
烆,hang
烇,cyun
烈,lit
烉,wun
烊,joeng
烋,haau
烋,jau
烌,jau
烍,sin
烎,jam
烏,wu
烏克蘭,wu haak laan
烏克蘭,wu hak laan
烏克蘭人,wu hak laan jan
烏哩單刀,wu lei daan dou
烏哩單刀,wu li daan dou
烏啄啄,wu doeng doeng
烏天黑地,wu tin hak dei
烏拉圭,wu laa gwai
烏拉圭,wu laai gwai
烏漆抹黑,wu cat mut hak
烏燈黑火,wu dang haak fo
烏燈黑火,wu dang hak fo
烏茲別克,wu zi bit haak
烏茲別克,wu zi bit hak
烏茲別克人,wu zi bit hak jan
烏茲別克斯坦,wu zi bit hak si taan
烏茲別克族,wu zi bit hak zuk
烐,zau
烑,jiu
烒,sik
烓,gwing
烔,tung
烕,hyut
烕,kyut
烕,mit
烖,zoi
烗,hoi
烘,hung
烘,hong
烘乾機,hong gon gei
烘干机,hong gon gei
烘底,hong dai
烘底,hung dai
烘手器,hong sau hei
烘烤,hong haau
烘碗机,hong wun gei
烘碗機,hong wun gei
烘面包,hong min baau
烘麪包,hong min baau
烙,lok
烚,hap
烚下烚下,saap haa saap haa
烚戆,saap ngong
烚戇,saap ngong
烚熟,saap suk
烛,zuk
烜,hyun
烝,zing
烞,pok
烟,jin
烟硷,jin him
烟碱酰胺腺嘌呤二核苷酸,jin gaan hei on sin piu ling ji hat gam syun
烠,wui
烡,gwong
烢,zaak
烢,caak
烣,fui
烤,haau
烥,geoi
烦,faan
烧,siu
烧利事,siu lai si
烧利事,siu lei si
烧利市,siu lai si
烧利市,siu lei si
烧青,siu ceng
烨,jip
烩,wui
烪,gwaan
烫,tong
烬,zeon
热,jit
热厨房,jit cyu fong
热巧克力,jit haau hak lik
热成层,jit sing cang
热泪盈眶,jit leoi jing hong
烮,lit
烯,hei
烰,fau
烱,gwing
烲,hit
烳,pou
烴,ting
烴,ging
烵,zoek
烶,ting
烷,jyun
烸,hoi
烹,paang
烹調,paang tiu
烹调,paang tiu
烺,long
烻,jin
烼,fat
烽,fung
烾,cek
烿,jung
焀,huk
焁,hei
焂,suk
焃,haak
焄,fan
焅,guk
焆,gyun
焇,siu
焈,hei
焉,jin
焊,hon
焋,zong
焌,ceot
焌,zeon
焌,zeot
焌,keoi
焍,dai
焎,cit
焏,gik
焐,ng
焑,jin
焒,leoi
焓,ham
焔,jim
焕,wun
焖,mun
焖,man
焗,guk
焘,dou
焘,tou
焙,bui
焚,fan
焛,leon
焜,kwan
焜,gwan
焜,wan
焝,fan
焞,tan
焞,teoi
焞,seon
焟,sik
焠,ceoi
焠,seoi
無,mou
無,mo
無傷大雅,mou soeng daai ngaa
無出貓,mou zeot maau
無厘頭尻,mou lai tau gau
無厘頭鳩,mou lai tau gau
無啖好食,mou daam hou sik
無啦啦整笪疤,mou laa laa zing daat naa
無啦啦生笪疤,mou laa laa saang daat naa
無嚟頭尻,mou lai tau gau
無巧不成書,mou kiu bat sing syu
無得掹,mou dak maang
無機化合物,mou gei faa hap mat
無機化合物,mou gei faa hok mat
無煙大炮,mou jin daai pau
無爭議,mou zang ji
無生命,mou sang ming
無聲,mou sing
無聲狗,mou seng gau
無足輕重,mou zuk hing cung
無隙可乘,mou gwik ho sing
焢,hung
焣,caau
焣,zeoi
焤,fu
焥,oi
焥,waat
焦,ziu
焦即,ziu zek
焦即,ziu zik
焧,cung
焨,fung
焩,pang
焪,hung
焫,naat
焬,sik
焭,king
焮,jan
焯,coek
焯,zoek
焰,jim
焱,jim
焲,jik
焳,zoek
焴,juk
焵,gong
然,jin
焷,pei
焸,hing
焹,gong
焺,sing
焻,coeng
焼,siu
焽,ming
焾,nam
焿,gang
煀,wat
煁,nam
煁,sam
煂,haak
煃,kwai
煄,zung
煅,dyun
煆,haa
煇,fai
煇,wan
煇,wai
煈,fung
煉,lin
煊,hyun
煋,sing
煌,wong
煍,ciu
煍,ziu
煎,zin
煏,bik
煐,jing
煑,zyu
煒,wai
煓,tyun
煔,sim
煕,hei
煖,nyun
煖,hyun
煗,nyun
煘,gaam
煘,tim
煙,jin
煚,gwing
煛,gwing
煜,juk
煜,jap
煝,mei
煞,saat
煟,wai
煠,saap
煠,zaa
煡,zeon
煢,king
煣,jau
煤,mui
煥,wun
煦,heoi
煦,jyu
照,ziu
照壁,ziu bek
照壁,ziu bik
照弹,ziu taan
照彈,ziu taan
照猫画虎,ziu maau waak fu
照葫芦画瓢,ziu wu lou waak piu
照葫蘆畫瓢,ziu wu lou waak piu
照貓畫虎,ziu maau waak fu
煨,wui
煩,faan
煪,cau
煫,seoi
煬,joeng
煭,lit
煮,zyu
煮㶶饭,zyu lung faan
煮燶飯,zyu lung faan
煯,gaai
煰,cou
煱,wo
煲,bou
煳,wu
煴,wan
煴,wat
煵,naam
煶,zik
煷,fo
煸,bin
煸,pin
煹,gau
煺,teoi
煻,tong
煼,caau
煽,sin
煾,jan
煿,bok
熀,fong
熁,hip
熂,hei
熃,mou
熄,sik
熄匙,sik ci
熄匙,sik si
熅,wan
熅,wat
熆,hap
熇,hiu
熇,hok
熇,kok
熇,haau
熇,huk
熈,hei
熉,wan
熊,hung
熊啤啤,hung be be
熋,noi
熌,sim
熍,hung
熎,jiu
熏,fan
熐,mik
熑,lim
熒,jing
熓,wat
熔,jung
熕,gung
熖,jim
熗,coeng
熘,lau
熘,liu
熙,hei
熚,bat
熛,biu
熜,cung
熜,zung
熝,luk
熞,gin
熟,suk
熟㶧㶧,sok nyun nyun
熟性,sok sing
熟性,suk sing
熟稔,suk jam
熟稔,suk nam
熟能生巧,suk nang saang haau
熟能生巧,suk nang sang haau
熟落,sok lok
熟落,suk lok
熟行,suk hong
熟面口,sok min hau
熟面口,suk min hau
熟食,sok sik
熟食,suk sik
熟食小販,suk sik siu faan
熟食小贩,suk sik siu faan
熟食店,suk sik dim
熠,jap
熠,saap
熠下熠下,saap haa saap haa
熠熟狗头,saap suk gau tau
熠熟狗頭,saap suk gau tau
熠熠閃爍,jap jap sim soek
熡,lau
熢,pung
熣,seoi
熤,jik
熥,tung
熦,zoek
熧,zung
熨,tong
熨,wan
熨,wat
熨,wai
熨法,wan faat
熨烫,wan tong
熨燙,wan tong
熨貼,wat tip
熨贴,wat tip
熩,wu
熪,ji
熫,zek
熬,ngou
熬,ngaau
熬出头,ngaau ceot tau
熬出头,ngou ceot tau
熬出頭,ngaau ceot tau
熬出頭,ngou ceot tau
熬底,ngaau dai
熬更守夜,ngaau gaang sau je
熬老衬,ngaau lou can
熬老襯,ngaau lou can
熬龜膠,ngaau gwai gaau
熬龟胶,ngaau gwai gaau
熭,wai
熮,lau
熯,hon
熯,jin
熯,naan
熰,au
熱,jit
熱巧克力,jit haau hak lik
熱廚房,jit cyu fong
熱成層,jit sing cang
熱淚盈眶,jit leoi jing hong
熲,gwing
熳,maan
熴,kwan
熵,soeng
熶,cyun
熷,zang
熸,zim
熹,hei
熺,hei
熻,jap
熼,jik
熽,siu
熾,ci
熿,fong
熿,wong
燀,cin
燀,daan
燀,zin
燁,jip
燂,taam
燂,cam
燂,cim
燃,jin
燄,jim
燅,cam
燅,cim
燆,hiu
燇,zeon
燈,dang
燉,dan
燉,deon
燉煌,deon wong
燊,san
燋,ziu
燋,ciu
燌,fan
燍,si
燎,liu
燏,wat
燏,jyut
燏,leot
燐,leon
燑,tung
燒,siu
燒利事,siu lai si
燒利事,siu lei si
燒利市,siu lai si
燒利市,siu lei si
燒到我嗰疊,siu dou ngo go daap
燒青,siu ceng
燓,fan
燔,faan
燕,jin
燕雀乌鹊,jin zoek wu coek
燕雀安知鴻鵠之志,jin zoek on zi hung huk zi zi
燕雀安知鸿鹄之志,jin zoek on zi hung huk zi zi
燕雀烏鵲,jin zoek wu coek
燕雀焉知鴻鵠之志,jin zoek jin zi hung huk zi zi
燕雀焉知鸿鹄之志,jin zoek jin zi hung huk zi zi
燖,cam
燗,laan
燘,mui
燘,fui
燙,tong
燚,jik
燚,ngai
燛,gwing
燜,mun
燜,man
燝,ging
燞,ziu
營,jing
營長,jing zoeng
燠,juk
燠,jyu
燠,jau
燠,ou
燡,jik
燢,hok
燣,laam
燤,lit
燤,taai
燥,cou
燦,caan
燧,seoi
燨,hei
燩,kok
燪,zung
燫,lim
燬,wai
燭,zuk
燮,sit
燮,sip
燯,ling
燰,wui
燱,jik
燲,hip
燳,ziu
燴,wui
燵,daat
燶,nung
燶,lung
燶起塊面,lung hei faai min
燶起塊面,nung hei faai min
燷,laam
燸,jyu
燸,nyun
燹,sin
燺,huk
燻,fan
燼,zeon
燽,cau
燾,dou
燾,tou
燿,jiu
燿,soek
爀,haak
爁,laam
爂,biu
爃,wing
爄,lai
爅,mak
爆,baau
爆,bok
爆,paau
爇,jyut
爇,joek
爈,leoi
爉,laap
爊,ngaau
爊,ngou
爊,ou
爋,fan
爌,kong
爌,kwong
爍,soek
爍,lik
爍,lok
爎,liu
爏,lik
爐,lou
爐頂,lou deng
爑,zoek
爒,liu
爓,jim
爓,cam
爔,hei
爕,sit
爖,lung
爗,jip
爘,caan
爙,joeng
爚,joek
爛,laan
爛命,laan meng
爛命,laan ming
爛巿,laan si
爛平爛賤,laan peng laan zin
爛泥扶唔上壁,laan nai fu m soeng bek
爛炖炖,laan tan tan
爛生,laan saang
爛躂躂,laan daat daat
爛醒,laan seng
爜,cung
爝,zoek
爝,ziu
爞,cung
爟,gun
爠,keoi
爡,cit
爢,mei
爣,tong
爤,laan
爥,zuk
爦,laam
爧,ling
爨,cyun
爩,wat
爪,zaau
爫,zaau
爬,paa
爭,zang
爭,zaang
爭,caang
爭一口氣,zaang jat hau hei
爭一日之長短,zaang jat jat zi coeng dyun
爭交,zaang gaau
爭交,zang gaau
爭仔,zaang zai
爭位企,zaang wai kei
爭住,zaang zyu
爭住,zang zyu
爭佢兩蚊,zaang keoi loeng man
爭先,zaang sin
爭先,zang sin
爭兩個人,zaang loeng go jan
爭凳仔,zaang dang zai
爭口氣,zaang hau hei
爭口氣,zang hau hei
爭唔落,zaang m lok
爭啲,caang di
爭啲,caang dit
爭啲,zaang di
爭啲,zaang dit
爭啲,zang di
爭啲唔記得咗,zaang di m gei dak zo
爭在,zaang zoi
爭地盤,zaang dei pun
爭天共地,zaang tin gung dei
爭奇鬥艷,zaang kei dau jim
爭客,zaang haak
爭寵,zaang cung
爭寵,zang cung
爭崩頭,zaang bang tau
爭幾回,zaang gei wui
爭成條墟,zaang seng tiu heoi
爭氣,zaang hei
爭氣,zang hei
爭生爭死,zaang sang zaang sei
爭番啖氣,zaang faan daam hei
爭秋奪暑,zaang cau dyut syu
爭秋奪暑,zang cau dyut syu
爭論,zaang leon
爭論,zang leon
爭論點,zang leon dim
爭議,zaang ji
爭議,zang ji
爭議性,zang ji sing
爭返啖氣,zaang faan daam hei
爭錢,zaang cin
爭食,zaang sik
爮,paau
爯,cing
爰,jyun
爰,wun
爱,oi
爱乐,oi ngok
爱惜,oi sek
爱惜,oi sik
爱靓唔爱命,oi leng m oi meng
爲,wai
爲虎作倀,wai fu zok coeng
爲起嚟,wai hei lei
爲重,wai zung
爳,wai
爴,fok
爵,zoek
爵士乐,zoek si ngok
爵士樂,zoek si ngok
父,fu
爷,je
爸,baa
爹,de
爺,je
爻,ngaau
爼,zo
爽,song
爽呢,song ne
爽手,soeng sau
爽手,song sau
爾,ji
爿,baan
爿,coeng
牀,cong
牀上戲,coeng soeng hei
牀上戲,cong soeng hei
牀下底,coeng haa dai
牀下底,cong haa dai
牀下底吹喇叭,cong haa dai ceoi laa baa
牀下底破柴,cong haa dai po caai
牀下底踢毽,cong haa dai tek jin
牀冚,cong kam
牀墊,cong din
牀墊,cong zin
牀憑,cong peng
牀拼,cong peng
牀板夾春袋,cong baan gep ceon doi
牀褥,coeng juk
牀褥,cong juk
牀鋪被席,cong pou pei zek
牀鋪被蓆,cong pou pei zek
牁,o
牁,go
牁,ho
牂,zong
牃,dip
牄,coeng
牅,jung
牆,coeng
片,pin
片假名,pin gaa ming
片名,pin meng
片糖,pin dong
片糖,pin tong
版,baan
牉,pun
牊,ciu
牋,zin
牌,paai
牌桌,paai zoek
牍,duk
牎,coeng
牏,jyu
牏,tau
牐,zaap
牑,bin
牒,dip
牓,bong
牔,bok
牕,coeng
牖,jau
牗,jau
牘,duk
牙,ngaa
牙机巧制,ngaa gei kiu zai
牙機巧制,ngaa gei kiu zai
牙縫刷,ngaa fung saat
牙缝刷,ngaa fung saat
牙譫譫,ngaa zaap zaap
牙谵谵,ngaa zaap zaap
牙骹,ngaa gaau
牚,caang
牛,ngau
牛什,ngau zaap
牛嚼牡丹唔知花定草,ngau ziu maau daan m zi faa ding cou
牛栢葉,ngau paak jip
牛百叶,ngaau baak jip
牛百叶,ngau baak jip
牛百葉,ngaau baak jip
牛百葉,ngau baak jip
牛精,ngau zeng
牛精,ngau zing
牝,pan
牝,fan
牞,gau
牞,kau
牟,mau
牟,muk
牟平,muk ping
牠,taa
牠,to
牡,maau
牡,mau
牡丹花,mau daan faa
牡馬,mau maa
牡马,mau maa
牢,lou
牣,jan
牤,mong
牥,fong
牦,lei
牦,mou
牦,maau
牧,muk
牨,gong
物,mat
物理結構,mat lei git kau
物理结构,mat lei git kau
物輕情義重,mat hing cing ji zung
物轻情义重,mat hing cing ji zung
牪,jin
牫,go
牬,bui
牭,sei
牮,zin
牯,gu
牰,cau
牰,jau
牰,zau
牱,o
牲,saang
牲,sang
牳,mau
牴,dai
牵,hin
牶,hyun
牷,cyun
牸,zi
特,dak
特使,dak si
特易購,dak ji kau
特易购,dak ji kau
特調,dak tiu
特调,dak tiu
特魯埃爾,dak lou oi ji
特鲁埃尔,dak lou oi ji
牺,hei
牺牲,hei sang
牺牲品,hei saang ban
牺牲品,hei sang ban
牻,mong
牼,hang
牽,hin
牾,ng
牿,guk
犀,sai
犁,lai
犂,lai
犃,bau
犄,gei
犄,ji
犅,gong
犆,dat
犆,zik
犇,ban
犈,kyun
犈,gyun
犉,seon
犉,jyun
犊,duk
犋,geoi
犌,gaa
犍,kin
犍,gin
犍牛,gin ngau
犍陀罗,gin to lo
犍陀羅,gin to lo
犎,fung
犏,pin
犐,fo
犑,gwik
犒,hou
犓,co
犔,hei
犕,bei
犖,lok
犖犖确确,lak lak kak kak
犖确,lak kak
犗,gaai
犘,maa
犙,saam
犚,wai
犛,lei
犛,maau
犛,mou
犜,deon
犝,tung
犞,kiu
犟,goeng
犠,ji
犡,lai
犡,laai
犢,duk
犣,lip
犤,bei
犥,piu
犦,bok
犧,hei
犧牲,hei sang
犧牲品,hei saang ban
犧牲品,hei sang ban
犨,cau
犨,sau
犩,ngai
犪,kwai
犫,cau
犬,hyun
犮,bat
犯,faan
犯憷,faan co
犯睏,faan kwan
犰,kau
犱,gik
犲,caai
犳,zoek
犴,ngon
犴,hon
犵,hat
犵,go
状,zong
状声词,zong sing ci
犷,gwong
犷,kwong
犸,maa
犹,jau
犺,kong
犻,but
犼,hau
犽,ngaa
犾,ngan
犿,faan
犿,fun
狀,zong
狀聲詞,zong sing ci
狁,wan
狂,kwong
狂,kong
狂殴,kong au
狂殴,kwong au
狂毆,kong au
狂毆,kwong au
狃,nau
狄,dik
狄,tik
狄更斯,dik gang si
狅,kwong
狆,zung
狇,muk
狈,bui
狉,pei
狊,gwik
狋,ji
狋,ngan
狌,saang
狌,sang
狌,sing
狍,paau
狎,haap
狎玩,haap wun
狏,to
狐,wu
狑,ling
狒,fai
狒,fat
狒,fei
狓,pei
狔,nei
狕,maa
狖,jau
狗,gau
狗口長不出象牙,gau hau zoeng bat ceot zoeng ngaa
狗口长不出象牙,gau hau zoeng bat ceot zoeng ngaa
狗吃屎,gau hek si
狗改不了吃屎,gau goi bat liu hek si
狗虱覺,gau sat gaau
狗虱觉,gau sat gaau
狗蝨覺,gau sat gaau
狘,hyut
狘,jyut
狙,zeoi
狚,daam
狚,daan
狚,daat
狚,taan
狛,baak
狜,gu
狝,sin
狞,ning
狟,wun
狟,hyun
狠,han
狡,gaau
狡黠,gaau hat
狡黠,gaau kit
狢,hok
狣,siu
狣,ziu
狤,gat
狤,git
狤,gwaai
狥,seon
狦,saan
狧,daat
狨,jung
狩,sau
狪,dung
狫,lou
独,duk
独生,duk saang
独生,duk sang
独生女,duk sang neoi
独生子,duk sang zi
狭,haap
狭,gip
狭,hap
狮,si
狮尾狒,si mei fat
狯,kui
狰,zang
狰,zaang
狱,juk
狲,syun
狳,jyu
狴,bai
狵,mong
狶,hei
狷,gyun
狸,lei
狸,maai
狹,haap
狹,gip
狹,hap
狺,ngan
狻,syun
狼,long
狼仆,long buk
狼命,long meng
狼狂,long kong
狼藉,long zik
狽,bui
狾,zai
狿,jin
猀,saa
猁,lei
猂,hon
猃,him
猄,geng
猅,paai
猆,fei
猇,haau
猈,baa
猈,pei
猈,paai
猉,kei
猊,ngai
猋,biu
猌,ngan
猍,loi
猎,lip
猏,gin
猐,goeng
猑,kwan
猒,jim
猒,aat
猓,gwo
猔,zung
猕,mei
猕,nei
猕猴桃,nei hau tou
猖,coeng
猖狂,coeng kong
猖狂,coeng kwong
猖猖狂狂,coeng coeng kwong kwong
猗,ji
猗,o
猗,ngo
猘,zai
猘,gai
猙,zang
猙,zaang
猚,ngaai
猛,maang
猜,caai
猜呈寻,caai ceng cam
猜呈寻,caai cing cam
猜呈尋,caai ceng cam
猜呈尋,caai cing cam
猜度,caai dok
猝,cyut
猞,se
猟,lip
猠,din
猡,lo
猢,wu
猣,zung
猤,gwai
猥,wai
猥,wui
猦,fung
猧,wo
猨,jyun
猩,sing
猪,zyu
猪什,zyu zaap
猪圈,zyu gyun
猪泵兜,zyu dam dau
猪生肠,zyu saang coeng
猪馊,zyu saau
猫,maau
猫,miu
猫咪,maau mi
猫声鸟,maau sing niu
猬,wai
猭,sin
献,hin
猯,teon
猰,aat
猰,jaak
猰,zaat
猱,naau
猱,nou
猲,hit
猲,hot
猳,gaa
猴,hau
猵,bin
猶,jau
猷,jau
猸,mei
猹,zaa
猺,jiu
猻,syun
猼,bok
猼,pok
猽,ming
猾,waat
猿,jyun
獀,sau
獁,maa
獂,jyun
獂,wun
獃,ngoi
獃,daai
獄,juk
獅,si
獅尾狒,si mei fat
獆,hou
獇,goeng
獈,jik
獉,zeon
獊,cong
獋,hou
獌,maan
獍,geng
獍,ging
獎,zoeng
獎券,zoeng gyun
獎券,zoeng hyun
獏,mok
獐,zoeng
獑,caam
獒,ngou
獓,ngou
獔,hou
獕,ceoi
獖,ban
獗,kyut
獘,bai
獙,bai
獚,wong
獛,buk
獜,leon
獝,wat
獝,leot
獞,tung
獞,zong
獟,hiu
獠,liu
獠,lou
獡,coek
獡,sik
獡,soek
獢,hiu
獣,sau
獤,deon
獥,hat
獥,gik
獥,giu
獦,got
獦,hot
獦,lip
獧,gyun
獨,duk
獨生,duk saang
獨生,duk sang
獨生女,duk sang neoi
獨生子,duk sang zi
獩,wai
獪,kui
獫,him
獬,haai
獭,caat
獭,taat
獮,sin
獯,fan
獰,ning
獱,ban
獱,bin
獲,wok
獲,waai
獲鹿,waai luk
獳,nau
獴,mung
獵,lip
獶,naau
獶,nou
獷,gwong
獷,kwong
獸,sau
獹,lou
獺,caat
獺,taat
獻,hin
獼,mei
獼,nei
獼猴桃,nei hau tou
獽,joeng
獾,fun
獿,naau
玀,lo
玁,him
玂,kei
玃,fok
玃,gwok
玄,jyun
玄参,jyun sam
玄參,jyun sam
玄奥,jyun ngou
玄奥,jyun ou
玄奧,jyun ngou
玄奧,jyun ou
玅,miu
玆,jyun
玆,zi
率,leot
率,seot
率,seoi
率先,seot sin
率兵,seot bing
率兽食人,seot sau sik jan
率同,seot tung
率团,seot tyun
率團,seot tyun
率尔,seot ji
率师,seot si
率師,seot si
率性,seot sing
率然,seot jin
率爾,seot ji
率獸食人,seot sau sik jan
率由旧章,seot jau gau zoeng
率由舊章,seot jau gau zoeng
率直,seot zik
率真,seot zan
率部,seot bou
率队,seot deoi
率隊,seot deoi
率領,seot ling
率领,seot ling
玈,lou
玉,juk
玉树藏族自治州,juk syu zong zuk zi zi zau
玉樹藏族自治州,juk syu zong zuk zi zi zau
玉皇頂,juk wong deng
玉皇顶,juk wong deng
玉米糁,juk mai saam
玉米糝,juk mai saam
玉茎,juk hang
玉莖,juk hang
玊,suk
王,wong
玌,kau
玍,gaa
玍,gaat
玎,ding
玏,lak
玐,baat
玑,gei
玒,hung
玒,gong
玒,gung
玓,dik
玔,cyun
玕,gon
玖,gau
玗,jyu
玘,hei
玙,jyu
玚,coeng
玚,joeng
玚,dong
玛,maa
玜,gung
玝,ng
玞,fu
玟,man
玟,mui
玠,gaai
玡,ngaa
玡,je
玢,ban
玢,fan
玣,bin
玤,pong
玤,bung
玥,jyut
玦,kyut
玧,mun
玨,gok
玩,waan
玩,wun
玩世,wun sai
玩乐,wun lok
玩人丧德,wun jan song dak
玩人喪德,wun jan song dak
玩伴,wun bun
玩偶,wun ngau
玩儿,wun ji
玩兒,wun ji
玩具,wun geoi
玩味,wun mei
玩命,waan meng
玩啤牌,waan pe paai
玩器,wun hei
玩宝州,waan ban zau
玩寳州,waan ban zau
玩弄,wun lung
玩忽,wun fat
玩意儿,wun ji ji
玩意兒,wun ji ji
玩月,wun jyut
玩樂,wun lok
玩物,wun mat
玩狎,wun haap
玩票,wun piu
玩索,wun saak
玩者,wun ze
玩艺,wun ngai
玩藝,wun ngai
玩話,wun waa
玩话,wun waa
玩賞,wun soeng
玩赏,wun soeng
玩餐飽,waan zaan baau
玩餐饱,waan zaan baau
玪,gaam
玫,mui
玬,taan
玭,pan
玮,wai
环,waan
环形结构,waan jing git kau
现,jin
玱,coeng
玲,ling
玳,doi
玳瑁,doi mou
玳瑁,doi mui
玳瑁壳,doi mui hok
玳瑁殼,doi mui hok
玳瑁眼鏡,doi mui ngaan geng
玳瑁眼镜,doi mui ngaan geng
玴,jai
玵,ngam
玶,ping
玷,dim
玸,fu
玹,jin
玹,jyun
玺,saai
玻,bo
玼,ci
玼,cai
玽,gau
玾,gaap
玿,siu
珀,paak
珁,ci
珂,o
珃,jim
珄,sang
珅,san
珆,ji
珆,toi
珇,zeoi
珇,zou
珈,gaa
珉,man
珊,saan
珋,lau
珌,bat
珌,bei
珌,bit
珍,zan
珍玩,zan wun
珍而重之,zan ji zung zi
珍重,zan zung
珎,zan
珏,gok
珐,faat
珐,fat
珑,lung
珒,zeon
珓,gaau
珔,zin
珕,lai
珖,gwong
珗,sin
珘,zau
珙,gung
珚,jin
珛,cau
珜,joeng
珝,heoi
珞,lok
珟,suk
珠,zyu
珠宝行,zyu bou hong
珠寶行,zyu bou hong
珠被,zyu pei
珠頸斑鳩,zyu geng baan kau
珠颈斑鸠,zyu geng baan kau
珡,kam
珢,ngan
珣,seon
珤,bou
珥,ji
珥,nei
珦,hoeng
珧,jiu
珨,hap
珨,haap
珩,hang
珪,gwai
珪,gwei
珫,cung
珬,seot
班,baan
班卓琴,baan zoek kam
班長,baan zoeng
班长,baan zoeng
班頂,baan deng
班頂,baan ding
班顶,baan deng
班顶,baan ding
珮,pui
珯,lou
珰,dong
珱,jing
珲,wan
珲,fai
珳,man
珴,ngo
珵,cing
珶,dai
珶,tai
珷,mou
珸,ng
珹,sing
珺,gwan
珺,kwan
珻,mui
珼,bui
珽,ting
現,jin
珿,cuk
琀,ham
琁,syun
琂,jin
球,kau
琄,jyun
琅,long
理,lei
理事長,lei si zoeng
理事长,lei si zoeng
琇,sau
琈,fau
琉,lau
琊,je
琊,ngaa
琋,hei
琌,ling
琍,lei
琎,zeon
琏,lin
琐,so
琑,ciu
琒,fung
琓,jyun
琔,din
琕,pan
琖,zaan
琗,ceoi
琘,man
琙,wik
琚,geoi
琛,sam
琛,cam
琜,loi
琝,man
琞,sing
琟,wai
琠,tin
琡,zyut
琡,cuk
琢,doek
琣,bung
琤,zang
琤,zaang
琤,caang
琥,fu
琦,kei
琧,ok
琨,kwan
琨,gwan
琩,coeng
琪,kei
琫,bung
琬,jyun
琭,luk
琮,cung
琯,gun
琰,jim
琱,diu
琲,pui
琲,bei
琳,lam
琴,kam
琴晚黑,kam maan haak
琴晚黑,kam maan hak
琴朝,kam ziu
琴瑟不調,kam sat bat tiu
琴瑟不调,kam sat bat tiu
琴行,kam hong
琵,pei
琶,paa
琷,kyut
琸,zoek
琹,kam
琺,faat
琺,fat
琻,cyun
琼,king
琽,dou
琾,gaai
琿,wan
琿,fai
瑀,jyu
瑁,mui
瑁,mou
瑂,mei
瑃,ceon
瑄,syun
瑅,tai
瑆,sing
瑇,doi
瑈,jau
瑉,man
瑊,zam
瑋,wai
瑌,jyun
瑍,wun
瑎,haai
瑏,cyun
瑐,zin
瑑,syun
瑑,cyun
瑒,coeng
瑒,joeng
瑒,dong
瑓,lin
瑔,cyun
瑕,haa
瑖,dyun
瑗,jyun
瑘,je
瑙,nou
瑚,wu
瑛,jing
瑜,jyu
瑝,waang
瑞,seoi
瑟,sat
瑠,lau
瑡,si
瑢,jung
瑣,so
瑤,jiu
瑥,wan
瑦,wu
瑧,zeon
瑨,zeon
瑩,jing
瑪,maa
瑫,tou
瑬,lau
瑭,tong
瑮,leot
瑯,long
瑰,gwai
瑱,tin
瑱,zan
瑱,din
瑲,coeng
瑳,co
瑴,gok
瑵,zou
瑵,zaau
瑶,jiu
瑷,oi
瑷珲条约,oi fai tiu joek
瑸,ban
瑹,syu
瑺,soeng
瑻,kwan
瑼,zyun
瑽,cung
瑾,gan
瑿,ji
璀,ceoi
璁,cung
璂,kei
璃,lei
璄,ging
璅,so
璅,ziu
璆,kau
璇,syun
璈,ngou
璉,lin
璊,mun
璋,zoeng
璌,jan
璍,jip
