ch,wuu-sh,wuu-sz
潇,siau,siau
潋,li,lie
潍,vi,vi
潏,yoq,yuq
潏,yuq,yuq
潑,pheq,pheq
潑,phaq,pheq
潔,ciq,ciq
潖,bo,bo
潘,phoe,phoe
潙,we,we
潛,zi,zie
潜,zi,zie
潞,lu,lou
潟,siq,siq
潢,waon,waon
潤,zen,zen
潦,liau,liau
潧,tsen,tsen
潩,yi,yi
潭,de,de
潭,zin,doe
潮,zau,zau
潮解,zau ka,zau ka
潯,zin,zin
潰,gue,gue
潲,sau,sau
潴,tsy,tsyu
潵,sa,sa
潵,se,se
潷,piq,piq
潸,se,se
潺,tshe,tshe
潺,ze,ze
潼,don,don
潽,phu,phu
潾,lin,lin
潿,we,we
澀,seq,seq
澄,zen,zen
澄,zen,zan
澆,ciau,ciau
澇,lau,lau
澈,tsheq,tsheq
澉,koe,koe
澌,sy,sy
澍,zy,zyu
澎,ban,ban
澐,yon,yun
澐,yun,yun
澗,ke,ke
澗,ci,cie
澛,lu,lou
澜,le,le
澠,mi,mie
澡,tsau,tsau
澣,uoe,uoe
澤,zeq,zeq
澤,zeq,zaq
澥,ga,ha
澦,yu,yu
澧,li,li
澪,lin,lin
澫,me,me
澭,ion,ion
澮,kue,kue
澮,ue,ue
澱,di,die
澳,au,au
澴,we,we
澶,zoe,zoe
澹,de,de
澼,phiq,phiq
澽,jiu,jiu
澾,thaq,thaeq
激,ciq,ciq
濁,zoq,zoq
濂,li,lie
濃,gnion,gnion
濉,soe,se
濋,tshu,tshou
濎,tin,tin
濑,le,le
濒,bin,bin
濒,pin,pin
濕,saq,seq
濕,seq,seq
濘,gnin,gnin
濚,yin,yin
濛,mon,mon
濜,zin,zin
濞,bi,bi
濞,phi,phi
濟,tsi,tsi
濠,ghau,ghau
濡,zy,zyu
濡,lu,zyu
濤,dau,dau
濤,thau,thau
濩,ghoq,weq
濫,le,le
濬,tsin,tsin
濮,phoq,phoq
濮,phoq,boq
濯,zoq,zoq
濯,zau,zau
濰,vi,vi
濱,pin,pin
濳,zi,zie
濴,yin,yin
濺,tsi,tsie
濼,loq,loq
濼,phoq,phoq
濾,liu,li
瀂,lu,lou
瀅,in,in
瀅,yin,yin
瀆,doq,doq
瀉,sia,sia
瀊,boe,boe
瀋,sen,sen
瀌,piau,piau
瀍,zoe,zoe
瀏,lieu,leu
瀑,boq,boq
瀑,bau,bau
瀔,koq,koq
瀕,bin,bin
瀕,pin,pin
瀘,lu,lou
瀚,ghoe,ghoe
瀛,yin,yin
瀝,liq,liq
瀟,siau,siau
瀠,yin,yin
瀣,ya,ye
瀦,tsy,tsyu
瀧,lon,lon
瀨,le,le
瀬,le,le
瀰,mi,mi
瀱,ci,ci
瀲,li,lie
瀴,in,in
瀵,fen,fen
瀹,yaq,yaq
瀺,ze,ze
瀼,gnian,zan
瀼,naon,zan
瀾,le,le
灃,fon,fon
灄,seq,seq
灈,jiu,jiu
灋,faq,faeq
灌,kuoe,kuoe
灏,ghau,ghau
灑,sa,sa
灒,ze,ze
灔,yi,ye
灕,li,li
灘,the,the
灝,ghau,ghau
灞,pa,po
灠,le,le
灣,ue,ue
灤,loe,loe
灧,yi,ye
灩,yi,ye
火,hu,hou
火叉,hu tsha,hou tsho
火大,hu du,hou dou
灬,hu,hou
灬,piau,piau
灭,miq,miq
灯,ten,ten
灰,hue,hue
灵,lin,lin
灵个,lin gheq,lin keq
灶,tsau,tsau
灶头间,tsau deu ke,tsau deu ke
灶披间,tsau phi ke,tsau phi ke
灶间,tsau ke,tsau ke
灸,cieu,cieu
灼,tsaq,tsaq
災,tse,tse
灾,tse,tse
灿,tshe,tshe
炀,yan,yan
炅,cion,cion
炅,kue,kue
炆,men,ven
炆,ven,ven
炉,lu,lou
炊,tshoe,tshe
炌,kha,kha
炎,yi,ye
炎日,yi zeq,ye zeq
炒,tshau,tshau
炒更,tshau kan,tshau ken
炔,chioq,chiuq
炔,chiuq,chiuq
炕,khaon,khaon
炖,ten,ten
炙,tsaq,tseq
炙,tsy,tsyu
炙,tseq,tseq
炜,we,we
炝,tshian,tshian
炟,taq,taeq
炣,khu,khou
炫,yoe,yoe
炬,jiu,jiu
炭,the,the
炮,phau,phau
炮,bau,bau
炯,cion,cion
炱,de,de
炳,pin,pin
炷,tsy,tsyu
炸,tso,tso
炸,tsa,tso
炸,zaq,zaeq
点,ti,tie
為,we,we
炻,zaq,zaq
炼,li,lie
炽,tshy,tshyu
炽,tsy,tsyu
炽,tsheq,tsheq
烀,hu,hou
烁,soq,soq
烁,soq,saq
烂,le,le
烂大块头,le du khue deu,le dou khue deu
烂铺絮,le phu si,le phu si
烃,thin,thin
烃,cin,cin
烅,shioq,shioq
烅,shiuq,shioq
烈,liq,liq
烊,yan,yan
烏,u,ou
烏日,u zeq,ou zeq
烏龜,u ciu,ou ciu
烏龜,u kue,ou kue
烑,yau,yau
烔,don,don
烘,hon,hon
烙,loq,loq
烛,tsoq,tsoq
烜,shioe,shioe
烝,tsen,tsen
烟,i,ie
烠,we,we
烤,khau,khau
烦,ve,ve
烦恶,ve u,ve ou
烧,sau,sau
烧夹生饭,sau kaq san ve,sau kaeq san ve
烨,yiq,yiq
烩,kue,kue
烩,hue,hue
烫,thaon,thaon
烬,zin,zin
热,gniq,zeq
热,gniq,gniq
热望,gniq waon,zeq maon
烯,shi,shi
烴,thin,thin
烴,cin,cin
烶,thin,thin
烷,woe,woe
烹,phen,phen
烹,phan,phan
烺,laon,laon
烻,yi,ye
烽,fon,fon
烿,yon,yon
焆,cioe,cioe
焆,iq,cioe
焉,i,ie
焊,ghoe,ghoe
焊,hoe,hoe
焊,ghoe,oe
焋,tsaon,tsaon
焌,tshiq,tshiq
焌,tsin,tsin
焌,tsheq,tsheq
焐,u,ou
焓,ghoe,ghoe
焕,huoe,huoe
焖,men,men
焗,jioq,jioq
焘,dau,dau
焙,be,be
焚,ven,ven
焜,khuen,khuen
焞,then,then
焠,tshoe,tshe
無,wu,vu
無,mu,mo
無,m,m
無度,wu du,vu dou
無日,wu zeq,vu zeq
無望,wu waon,vu maon
焦,tsiau,tsiau
焮,shin,shin
焯,tsaq,tsaq
焯,tsaq,tshaq
焰,yi,ye
焱,yi,ye
然,zoe,zoe
煁,zen,zen
煃,khue,khue
煅,toe,toe
煆,shia,ia
煆,shia,ha
煆,ho,ho
煉,li,lie
煊,shioe,shioe
煋,sin,sin
煌,waon,waon
煎,tsi,tsie
煑,tsy,tsyu
煒,we,we
煓,thoe,thoe
煕,shi,shi
煖,noe,noe
煖,shioe,shioe
煙,i,ie
煜,yoq,ioq
煜,yuq,yuq
煝,me,me
煞,saq,saeq
煟,we,we
煠,zaq,zaeq
煢,jion,jion
煤,me,me
煥,huoe,huoe
煦,shiu,shiu
照,tsau,tsau
煨,ue,ue
煩,ve,ve
煩惡,ve u,ve ou
煬,yan,yan
煮,tsy,tsyu
煲,pau,pau
煳,wu,ghou
煴,ion,iun
煴,iun,iun
煴,uen,iun
煸,pi,pie
煺,thoe,the
煺,the,the
煼,tseu,tseu
煽,soe,soe
熄,siq,siq
熅,ion,iun
熅,iun,iun
熅,uen,iun
熇,hoq,hoq
熇,shiau,shiau
熊,yon,yon
熏,shion,shiun
熏,shiun,shiun
熒,yin,yin
熒,yon,yin
熓,u,ou
熔,yon,yon
熗,tshian,tshian
熘,lieu,leu
熙,shi,shi
熛,piau,piau
熜,tshon,tshon
熝,loq,loq
熟,zoq,zoq
熠,yiq,yiq
熢,von,bon
熥,thon,thon
熨,ion,iun
熨,iun,iun
熨,yon,yun
熬,ngau,ngau
熯,hoe,hoe
熱,gniq,zeq
熱,gniq,gniq
熱望,gniq waon,zeq maon
熳,moe,moe
熳,me,me
熵,saon,saon
熹,shi,shi
熻,shiq,shiq
熾,tshy,tshyu
熾,tsy,tsyu
熾,tsheq,tsheq
燀,te,te
燀,tshoe,tsoe
燁,yiq,yiq
燂,toq,toq
燃,zoe,zoe
燈,ten,ten
燉,ten,ten
燊,sen,sen
燋,tsiau,tsiau
燎,liau,liau
燏,yoq,ioq
燏,yuq,yuq
燐,lin,lin
燒,sau,sau
燒夾生飯,sau kaq san ve,sau kaeq san ve
燔,ve,ve
燕,i,ie
燖,zin,zin
燘,kue,kue
燙,thaon,thaon
燚,yiq,yiq
燜,men,men
營,yin,yin
營,yon,yin
營長,yin tsan,yin tsan
燠,ioq,ioq
燠,yoq,ioq
燥,sau,sau
燦,tshe,tshe
燧,zoe,ze
燬,hue,hue
燭,tsoq,tsoq
燮,siq,siq
燴,kue,kue
燴,hue,hue
燹,si,sie
燻,shion,shiun
燻,shiun,shiun
燼,zin,zin
燽,zeu,zeu
燾,dau,dau
燿,yau,yau
爁,le,le
爃,yon,yon
爅,meq,meq
爆,bau,bau
爆,pau,pau
爆米花,pau mi ho,pau mi ho
爆魚,pau ng,pau yu
爆鱼,pau ng,pau yu
爇,gniq,gniq
爊,ngau,ngau
爊,au,au
爍,soq,soq
爍,soq,saq
爎,liau,liau
爐,lu,lou
爔,shi,shi
爙,gnian,gnian
爚,yaq,yaq
爛,le,le
爛大塊頭,le du khue deu,le dou khue deu
爛鋪絮,le phu si,le phu si
爝,tsiaq,tsiaq
爟,kuoe,kuoe
爨,tshoe,tshoe
爪,tsau,tsau
爪,tsa,tsa
爪儿,tsa er,tsa er
爪兒,tsa er,tsa er
爪子,tsa tsy,tsa tsy
爪手,tsa seu,tsa seu
爪手爪脚,tsa seu tsa ciaq,tsa seu tsa ciaq
爪手爪腳,tsa seu tsa ciaq,tsa seu tsa ciaq
爫,tsau,tsau
爬,bo,bo
爬,ba,bo
爬死爬活,bo si bo weq,bo sy bo weq
爭,tsen,tsen
爭,tsan,tsen
爭,tsen,tsan
爭吵,tsan tshau,tsen tshau
爭吵,tsen tshau,tsen tshau
爭氣,tsan chi,tsen chi
爮,bau,bau
爰,yoe,yoe
爱,e,e
爲,we,we
爲二,we er,we gni
爲二,we gni,we gni
爲家,we cia,we cia
爲自家,we zy ka,we zy cia
爵,tsiaq,tsiaq
父,vu,vu
爷,ya,ya
爷,ya,ye
爸,pa,po
爸,pa,pa
爹,tia,tia
爹,tia,ti
爺,ya,ya
爺,ya,ye
爻,yau,yau
爽,saon,saon
爽呆,saon te,saon te
爾,er,er
爾,n,er
爿,be,be
牀,zaon,zaon
牁,ku,kou
牂,tsaon,tsaon
牆,zian,zian
片,phi,phie
版,pe,pe
牋,tsi,tsie
牌,ba,ba
牍,doq,doq
牐,zaq,zaeq
牒,diq,diq
牖,yeu,yeu
牘,doq,doq
牙,nga,nga
牙,ya,ya
牚,tshan,tshen
牛,gnieu,gnieu
牛仔,gnieu tse,gnieu tse
牛圈,gnieu jioe,gnieu jioe
牛肚,gnieu tu,gnieu tou
牜,gnieu,gnieu
牝,phin,phin
牝,bin,bin
牟,meu,meu
牠,tha,tha
牡,meu,meu
牡,mu,mo
牡,meu,mau
牢,lau,lau
牢大,lau du,lau dou
牢長,lau tsan,lau tsan
牢長,lau zan,lau zan
牢长,lau tsan,lau tsan
牢长,lau zan,lau zan
牥,faon,faon
牦,mau,mau
牧,moq,moq
物,veq,veq
物,meq,meq
物事,meq zy,meq zyu
牮,tsi,tsie
牯,ku,kou
牲,sen,sen
牲,san,san
牴,ti,ti
牵,chi,chie
特,deq,deq
特,deq,diq
牺,shi,shi
牻,maon,maon
牽,chi,chie
牾,ngu,ngou
牿,koq,koq
犀,si,si
犁,li,li
犄,tsi,tsi
犄,tsi,i
犇,pen,pen
犊,doq,doq
犋,jiu,jiu
犍,ci,cie
犍,ji,jie
犏,phi,phie
犒,khau,khau
犖,loq,loq
犛,mau,mau
犟,jian,jian
犢,doq,doq
犧,shi,shi
犨,tsheu,tsheu
犬,chioe,chioe
犭,chioe,chioe
犯,ve,ve
犰,jieu,jieu
犴,ghoe,ghoe
犴,ngoe,ngoe
状,zaon,zaon
犷,kuaon,kuaon
犸,mo,mo
犹,yeu,yeu
犺,khaon,khaon
犽,nga,nga
狀,zaon,zaon
狁,yon,yun
狁,yun,yun
狂,guaon,kuaon
狂,waon,guaon
狃,gnieu,gnieu
狄,diq,diq
狈,pe,pe
狉,phi,phi
狍,bau,bau
狎,ghaq,ghaeq
狐,wu,ghou
狒,vi,vi
狗,keu,keu
狙,tsiu,tsi
狙,tsiu,tshi
狝,si,sie
狞,gnin,gnin
狠,hen,hen
狠,ghen,ghen
狡,ciau,ciau
狧,theq,theq
狨,gnion,zon
狩,seu,seu
独,doq,doq
独个,doq ku,doq keq
独养儿子,doq yan gni tsy,doq yan gni tsy
独生,doq san,doq san
狭,ghaq,ghaeq
狭,ghaq,yaeq
狮,sy,syu
狮,sy,sy
狯,kua,kue
狯,waq,kue
狯,kue,kue
狰,tsen,tsen
狱,gnioq,gnioq
狲,sen,sen
狳,yu,yu
狴,bi,bi
狷,cioe,cioe
狸,li,li
狹,ghaq,ghaeq
狹,ghaq,yaeq
狺,gnin,gnin
狻,soe,soe
狼,laon,laon
狽,pe,pe
猁,li,li
猃,shi,shie
猄,cin,cin
猇,ghau,ghau
猇,hau,hau
猊,gni,gni
猎,laq,liq
猎,laq,laeq
猕,mi,mi
猖,tshaon,tshan
猖,tshaon,tshaon
猗,i,ie
猗,ji,ji
猙,tsen,tsen
猛,man,man
猛,men,men
猜,tshe,tshe
猜,tshoe,tshe
猜謎謎子,tshe me me tsy,tshe me me tsy
猜謎謎子,tshoe me me tsy,tshe me me tsy
猜谜谜子,tshe me me tsy,tshe me me tsy
猜谜谜子,tshoe me me tsy,tshe me me tsy
猝,tsheq,tsheq
猝,tshoq,tshoq
猞,so,so
猡,lu,lou
猢,weq,weq
猢,wu,ghou
猥,ue,ue
猥,we,we
猩,sin,sin
猪,tsy,tsyu
猪仔,tsy tse,tsyu tse
猪圈,tsy jioe,tsyu jioe
猫,mau,mau
猬,we,we
献,shi,shie
猯,thoe,thoe
猰,chiq,chiq
猰,haq,chiq
猰,iaq,chiq
猱,nau,nau
猴,gheu,gheu
猶,yeu,yeu
猷,yeu,yeu
猸,me,me
猹,zo,zo
猺,yau,yau
猻,sen,sen
猾,waq,waeq
猿,yoe,yoe
獁,mo,mo
獃,nge,nge
獄,gnioq,gnioq
獅,sy,syu
獅,sy,sy
獍,cin,cin
獎,tsian,tsian
獐,tsaon,tsan
獐,tsaon,tsaon
獒,ngau,ngau
獗,cioq,ciuq
獗,ciuq,ciuq
獠,liau,liau
獨,doq,doq
獨個,doq ku,doq kou
獨生,doq san,doq san
獨養兒子,doq yan gni tsy,doq yan gni tsy
獪,kua,kue
獪,waq,kue
獪,kue,kue
獫,shi,shie
獬,ya,ye
獭,thaq,thaeq
獮,si,sie
獯,shion,shiun
獯,shiun,shiun
獰,gnin,gnin
獲,weq,weq
獲,ghoq,weq
獴,mon,mon
獵,laq,liq
獵,laq,laeq
獷,kuaon,kuaon
獸,seu,seu
獺,thaq,thaeq
獻,shi,shie
獼,mi,mi
獾,huoe,huoe
玀,lu,lou
玃,cioq,ciuq
玄,yoe,yoe
玄,yi,ye
玄奘,yoe zaon,yoe zaon
玅,miau,miau
率,liq,liq
率,se,se
率,seq,seq
率,soe,se
率先,se si,se sie
率兵,se pin,se pin
率性,se sin,se sin
率然,se zoe,se zoe
率直,se zeq,se zeq
率真,se tsen,se tsen
率部,se bu,se bu
率队,se de,se de
率隊,se de,se de
率領,se lin,se lin
率领,se lin,se lin
玉,gnioq,gnioq
王,waon,maon
王,waon,waon
玎,tin,tin
玐,paq,paq
玑,ci,ci
玒,ghon,ghon
玓,tiq,tiq
玔,tshoe,tshoe
玕,koe,koe
玖,cieu,cieu
玗,yu,yu
玘,chi,chi
玙,yu,yu
玚,yan,yan
玛,mo,mo
玛,ma,ma
玞,fu,fu
玟,min,min
玟,ven,ven
玠,cia,cia
玠,ka,ka
玡,nga,nga
玡,ya,ya
玢,pin,pin
玤,baon,baon
玥,yoq,yuq
玥,yuq,yuq
玦,cioq,ciuq
玦,ciuq,ciuq
玨,cioq,ciuq
玨,cioq,cioq
玩,we,woe
玩,woe,woe
玩,me,me
玪,ci,ci
玪,ji,ji
玫,me,me
玮,we,we
环,gue,gue
现,yi,ye
玱,tshan,tshan
玱,tshian,tshian
玲,lin,lin
玳,de,de
玵,koe,koe
玵,ngoe,ngoe
玶,bin,bin
玷,ti,tie
玸,vu,vu
玹,yi,ye
玹,yoe,yoe
玺,si,si
玻,pu,pu
玼,tshy,tshy
玽,keu,keu
玿,zau,zau
珀,phaq,pheq
珀,phaq,phaq
珂,khu,khou
珃,zoe,zoe
珅,sen,sen
珇,tsu,tsou
珇,ziu,zi
珈,ka,cia
珈,ka,ga
珉,min,min
珊,se,se
珋,lieu,leu
珌,piq,piq
珍,tsen,tsen
珏,cioq,ciuq
珏,ciuq,ciuq
珐,faq,faeq
珑,lon,lon
珒,tsin,tsin
珓,kau,kau
珓,ciau,ciau
珕,liq,liq
珖,kuaon,kuaon
珘,tseu,tseu
珙,kon,kon
珚,i,ie
珛,shieu,shieu
珝,shiu,shiu
珞,loq,loq
珠,tsy,tsyu
珢,gnin,gnin
珣,sin,sin
珥,er,er
珦,shian,shian
珧,yau,yau
珨,ghaq,ghaeq
珩,ghan,yin
珪,kue,kue
珫,tshon,tshon
珬,siq,siq
班,pe,pe
班長,pe tsan,pe tsan
班长,pe tsan,pe tsan
珮,be,be
珰,taon,taon
珲,hue,hue
珲,wen,wen
珵,zen,zen
珶,di,di
珷,vu,vu
珸,ngu,ngou
珹,zen,zen
珺,cion,ciun
珺,ciun,ciun
珼,pe,pe
珽,thin,thin
現,yi,ye
琀,ghoe,ghoe
琂,gni,gnie
球,jieu,jieu
琄,yoe,yoe
琅,laon,laon
理,li,li
琇,sieu,seu
琈,veu,fu
琉,lieu,leu
琊,nga,nga
琊,ya,ya
琊,zia,zia
琎,tsin,tsin
琏,li,lie
琐,su,sou
琔,di,die
琖,tse,tse
琗,tshe,tshe
琚,ciu,ciu
琛,tshen,tshen
琟,gnioq,gnioq
琟,vi,vi
琡,tshoq,tshoq
琢,tsoq,tsoq
琤,tshan,tshen
琤,tshen,tshen
琥,hu,hou
琦,ji,ji
琨,khuen,khuen
琪,ji,ji
琫,pon,pon
琬,uoe,uoe
琭,loq,loq
琮,zon,zon
琮,tshon,tshon
琯,koe,koe
琯,kuoe,kuoe
琰,yi,ye
琱,tiau,tiau
琲,be,be
琳,lin,lin
琴,jin,jin
琵,bi,bi
琶,ba,bo
琶,bo,bo
琺,faq,faeq
琼,jion,jion
琿,hue,hue
琿,wen,wen
瑀,yu,yu
瑁,mau,mau
瑁,me,me
瑂,me,me
瑃,tshen,tshen
瑄,si,sie
瑅,di,di
瑆,sin,sin
瑈,zeu,zeu
瑋,we,we
瑏,tshoe,tshoe
瑑,zoe,zoe
瑒,yan,yan
瑓,li,lie
瑔,zi,zie
瑕,shia,ia
瑕,shia,io
瑖,toe,toe
瑗,yoe,yoe
瑙,nau,nau
瑚,wu,ghou
瑛,in,in
瑜,yu,yu
瑜伽,yu ka,yu cia
瑝,waon,waon
瑞,zoe,ze
瑟,seq,seq
瑢,yon,yon
瑣,su,sou
瑤,yau,yau
瑧,tsin,tsin
瑨,tsin,tsin
瑩,yin,yin
瑩,yon,yin
瑪,mo,mo
瑪,ma,ma
瑬,lieu,leu
瑭,daon,daon
瑯,laon,laon
瑰,kue,kue
瑱,thi,thi
瑱,tsen,tsen
瑲,tshan,tshan
瑲,tshian,tshian
瑳,tshu,tshou
瑶,yau,yau
瑷,e,e
瑽,tshon,tshon
瑾,jin,jin
瑿,i,i
璀,tshoe,tshe
璁,tshon,tshon
璃,li,li
璆,jiu,jiu
璇,zi,zie
璈,ngau,ngau
璉,li,lie
璊,men,men
璋,tsaon,tsan
璋,tsaon,tsaon
璎,in,in
璐,lu,lou
璒,ten,ten
璕,zin,zin
璗,daon,daon
璘,lin,lin
璜,waon,waon
璞,phoq,phoq
璟,cin,cin
璠,ve,ve
璡,tsin,tsin
璣,ci,ci
璥,cin,cin
璦,e,e
璧,piq,piq
璨,tshe,tshe
璩,jiu,jiu
璪,tsau,tsau
璫,taon,taon
璬,ciau,ciau
璮,the,the
環,gue,gue
璱,seq,seq
璲,zoe,ze
璵,yu,yu
璺,men,ven
璺,ven,ven
璻,tsoe,tsoe
璼,le,le
璽,si,si
璿,zi,zie
瓀,zoe,zoe
瓁,ngoq,ngoq
瓃,le,le
瓄,doq,doq
瓅,liq,liq
瓉,tse,tse
瓊,jion,jion
瓋,thiq,thiq
瓌,kue,kue
瓍,zoe,ze
瓏,lon,lon
瓐,lu,lou
瓒,ze,ze
瓓,le,le
瓔,in,in
瓖,sian,sian
瓘,koe,koe
瓚,ze,ze
瓜,ko,ko
瓜,kua,ko
瓞,diq,diq
瓠,wu,ghou
瓢,biau,biau
瓣,be,be
瓣,pe,pe
瓤,naon,zan
瓤,gnian,zan
瓤,naon,naon
瓦,ngo,ngo
瓭,te,toe
瓮,on,on
瓯,eu,eu
瓴,lin,lin
瓶,bin,bin
瓷,zy,zy
瓻,tshy,tshyu
瓿,beu,beu
甄,tsen,tsen
甌,eu,eu
甍,man,man
甍,mon,mon
甏,ban,ban
甑,tsen,tsen
甓,biq,biq
甕,on,on
甗,gni,gni
甘,koe,koe
甙,de,de
甚,zen,zen
甜,di,die
生,sen,sen
生,san,san
生下,san gho,san gho
生业,san gniq,san gniq
生丝,san sy,san sy
生为,san we,san we
生事,san zy,san zyu
生于,san yu,san yu
生人,san gnin,san zen
生份,san ven,san ven
生僻,san phiq,san phiq
生光的滑,san kuaon tiq waq,san kuaon tiq waeq
生冷,san lan,san lan
生出,san tsheq,san tsheq
生吃,san chiq,san chiq
生喫,san chiq,san chiq
生姜,san cian,san cian
生子,san tsy,san tsy
生字,san zy,san zy
生怕,san pho,san pho
生意,san i,san i
生成个,sen zen gheq,sen zen keq
生手,san seu,san seu
生料,san liau,san liau
生於,san yu,san yu
生日,san gniq,san zeq
生暴,san bau,san bau
生有,san yeu,san yeu
生梨,san li,san li
生業,san gniq,san gniq
生毛病,san mau bin,san mau bin
生气,san chi,san chi
生氣,san chi,san chi
生活势劲,san weq sy cin,san weq syu cin
生活勢勁,san weq sy cin,san weq syu cin
生漆,san tshiq,san tshiq
生热,san gniq,san zeq
生煎饅頭,san tsi moe deu,san tsie moe deu
生煎馒头,san tsi moe deu,san tsie moe deu
生煤,san me,san me
生熱,san gniq,san zeq
生爲,san we,san we
生病,san bin,san bin
生皮,san bi,san bi
生相,san sian,san sian
生硬,san ngan,san ngan
生米,san mi,san mi
生絲,san sy,san sy
生肖,san siau,san siau
生育,san yoq,san ioq
生育,san yuq,san yuq
生腻,san gni,san gni
生膩,san gni,san gni
生色,san seq,san seq
生药,san yaq,san yaq
生菜,san tshe,san tshe
生薑,san cian,san cian
生藥,san yaq,san yaq
生角,san koq,san koq
生計,san ci,san ci
生计,san ci,san ci
生起,san chi,san chi
生过,san ku,san kou
生過,san ku,san kou
生鏽,san sieu,san seu
生鐵,san thiq,san thiq
生铁,san thiq,san thiq
生锈,san sieu,san seu
生長,sen tsan,sen tsan
生长,sen tsan,sen tsan
甡,sen,sen
產,tshe,tshe
甥,san,san
甥,sen,sen
甦,su,sou
用,yon,yon
用个,yon gheq,yon keq
用场个,yon zan gheq,yon zan keq
用家,yon cia,yon cia
用着了,yon zaq leq,yon zaq leq
甩,huaq,huaeq
甪,loq,loq
甫,fu,fu
甬,ion,ion
甯,gnin,gnin
田,di,die
田家,di cia,die cia
由,yeu,yeu
甲,ciaq,kaeq
甲,kaq,kaeq
甲,ciaq,ciaeq
申,sen,sen
甴,tshoq,tshoq
电,di,die
电脑个问题,di nau gheq ven di,die nau keq ven di
男,noe,noe
男个,noe gheq,noe keq
男当家,noe taon ka,noe taon cia
男當家,noe taon ka,noe taon cia
甸,di,die
町,thin,thin
町,tin,tin
画,gho,gho
画,wa,gho
画行,gho ghaon,gho ghaon
甽,tsen,tsen
甾,tsy,tsy
甾,tse,tse
畀,peq,peq
畀,pi,pi
畅,tshan,tshan
畈,fe,fe
畊,kan,ken
畊,ken,kan
畋,di,die
界,ka,ka
界,cia,cia
畎,chioe,chioe
畏,ue,ue
畔,boe,boe
畖,ua,ua
留,lieu,leu
留个,lieu ku,leu keq
留個,lieu ku,leu kou
留日,lieu zeq,leu zeq
畚,fen,fen
畚,pen,pen
畛,tsen,tsen
畜,tshoq,tshoq
畜,shioq,shioq
畜,shiuq,shioq
畜产,shioq tshe,shioq tshe
畜产,shiuq tshe,shioq tshe
畜养,shioq yan,shioq yan
畜养,shiuq yan,shioq yan
畜牧,shioq moq,shioq moq
畜牧,shiuq moq,shioq moq
畜牲,tshoq san,tshoq san
畜牲,tshoq sen,tshoq sen
畜生,tshoq san,tshoq san
畜產,shioq tshe,shioq tshe
畜產,shiuq tshe,shioq tshe
畜积,shioq tsiq,shioq tsiq
畜积,shiuq tsiq,shioq tsiq
畜積,shioq tsiq,shioq tsiq
畜積,shiuq tsiq,shioq tsiq
畜養,shioq yan,shioq yan
畜養,shiuq yan,shioq yan
畝,m,mo
畝,meu,meu
畝,m,m
畢,piq,piq
畢生,piq san,piq san
畢生,piq sen,piq sen
畢鈿生絲,piq di sen sy,piq die sen sy
畤,tsy,tsyu
略,liaq,liaq
畦,shi,shi
畦,yi,ye
番,fe,fe
番,phoe,phoe
番禺,phoe gniu,phoe gniu
畫,gho,gho
畫,wa,gho
畫行,gho ghaon,gho ghaon
畬,so,so
畯,tsin,tsin
異,yi,yi
異行,yi ghaon,yi ghaon
畲,so,so
畴,zeu,zeu
當,taon,taon
當個,taon ku,taon kou
當家,taon cia,taon cia
當家,taon ka,taon cia
畸,ji,ji
畸,ci,ci
畹,uoe,uoe
畿,ji,ji
疁,leu,leu
疁,lieu,leu
疃,thoe,thoe
疄,lin,lin
疄,lin,len
疆,cian,cian
疇,zeu,zeu
疊,diq,diq
疊,deq,deq
疊柴垛,deq za tu,deq ze tou
疊起來,deq chi le,deq chi le
疋,ia,ia
疋,phiq,phiq
疋,sy,sy
疍,de,de
疏,su,sou
疐,ti,ti
疐,tsy,tsyu
疑,gni,gni
疒,naq,naeq
疔,tin,tin
疕,pi,pi
疖,tsiq,tsiq
疗,liau,liau
疘,kon,kon
疙,keq,keq
疚,cieu,cieu
疝,se,se
疟,ngoq,gniaq
疟,gniaq,gniaq
疟,ngoq,ngoq
疟疾,gniaq ziq,gniaq ziq
疟蚊,gniaq men,gniaq ven
疠,la,li
疠,li,li
疡,yan,yan
疢,tshen,tshen
疣,yeu,yeu
疤,pa,po
疤,po,po
疥,ka,ka
疥,cia,cia
疨,ha,ha
疫,yoq,yuq
疫,yuq,yuq
疬,liq,liq
疬,li,li
疭,tson,tson
疮,tshaon,tshaon
疯,fon,fon
疰,tsy,tsyu
疱,pau,pau
疱,phau,phau
疲,bi,bi
疳,koe,koe
疴,khu,khou
疵,tshy,tshy
疸,te,te
疹,tsen,tsen
疻,tsy,tsyu
疼,den,den
疽,tsiu,tsi
疾,ziq,ziq
疿,be,be
痀,ciu,ciu
痂,ka,cia
痂,ka,ka
痂,cia,cia
痃,yi,ye
痄,tso,tso
病,bin,bin
病房間,bin vaon ke,bin baon ke
病房间,bin vaon ke,bin baon ke
症,tsen,tsen
痈,ion,ion
痉,jin,jin
痉,cin,cin
痊,zi,zie
痍,yi,yi
痑,the,the
痒,yan,yan
痓,zy,zyu
痔,zy,zyu
痕,ghen,ghen
痘,deu,deu
痙,jin,jin
痙,cin,cin
痛,thon,thon
痛恶,thon u,thon ou
痛惡,thon u,thon ou
痞,phi,phi
痠,soe,soe
痢,li,li
痣,tsy,tsyu
痣,tsy,tshy
痤,zu,zou
痦,ngu,ngou
痧,so,so
痨,lau,lau
痪,huoe,huoe
痫,yi,ye
痫,ghe,ye
