ch,wuu-sh
寓,yu
寔,zeq
寝,tshin
寞,moq
察,tshaq
寡,ko
寡,kua
寢,tshin
寣,hueq
寤,ngu
寥,liau
實,zeq
寧,gnin
寧日,gnin zeq
寧波,gnin poq
寨,tse
寨,ze
審,sen
審問,sen men
寫,sia
寫字間,sia zy ke
寬,khuoe
寮,liau
寰,gue
寵,tshon
寶,pau
寸,tshen
对,te
对个,te gheq
寺,zy
寻,zin
寻个,zin gheq
寻死寻活,zin si zin weq
寻问,zin men
导,dau
寿,zeu
封,fon
射,zo
射,za
射尿,za sy
射屙,za u
将,tsian
將,tsian
專,tsoe
專家,tsoe cia
尉,ue
尉,yoq
尉,yuq
尉迟,yoq zy
尉迟,yuq zy
尉遲,yoq zy
尉遲,yuq zy
尊,tsen
尊長,tsen tsan
尊长,tsen tsan
尋,zin
尋問,zin men
尋死尋活,zin si zin weq
對,te
導,dau
小,siau
小个,siau gheq
小月,siau gnioq
小月,siau gniuq
小月,siau yoq
小月,siau yuq
小膀,siau phaon
尐,tsiq
少,sau
少个,sau gheq
尔,er
尔,n
尕,ga
尖,tsi
尘,zen
尙,zaon
尚,zaon
尜,ga
尝,zaon
尝个,zaon ku
尟,si
尢,yeu
尣,uaon
尤,yeu
尥,liau
尧,gniau
尧,yau
尨,maon
尨,mon
尪,uaon
尬,ka
就,zieu
就行,zieu ghaon
尴,ke
尷,ke
尸,sy
尹,yin
尹,in
尺,tshaq
尻,khau
尼,gni
尽,zin
尽,tsin
尽力,tsin liq
尽早,tsin tsau
尽是,tsin zy
尽速,tsin soq
尽量,tsin lian
尾,vi
尾,gni
尾,mi
尾巴,gni po
尾巴,mi po
尾巴,vi pa
尿,gniau
尿,sy
尿脬,sy phau
局,jioq
局,jiuq
局長,jioq tsan
局长,jioq tsan
屁,phi
层,zen
屃,shi
屄,pi
居,ciu
居家,ciu cia
屆,ka
屆,cia
屈,chioq
屈,chiuq
屉,thi
届,ka
届,cia
屋,oq
屌,tiau
屍,sy
屎,sy
屏,bin
屏,pin
屏,phin
屏息,pin siq
屏气,pin chi
屏氣,pin chi
屏牢,pin lau
屐,jioq
屐,jiuq
屑,siq
屓,shi
展,tsoe
屙,u
屛,bin
屛,phin
屜,thi
属,zoq
属望,zoq waon
屠,du
屡,liu
屢,liu
屣,si
層,zen
履,liu
屦,ciu
屨,ciu
屬,zoq
屬望,zoq waon
屮,tsheq
屯,den
山,se
屹,i
屺,chi
屼,ngeq
屾,sen
屿,yu
岁,soe
岂,chi
岈,ya
岊,tsiq
岌,jiq
岍,chi
岐,ji
岑,zen
岔,tsha
岔,tsho
岖,chiu
岗,kaon
岘,yi
岙,au
岚,le
岛,tau
岜,pa
岝,zoq
岞,zoq
岠,jiu
岡,kaon
岢,khu
岣,keu
岧,diau
岨,tsiu
岨,tsu
岩,nge
岫,zieu
岬,kaq
岬,ciaq
岭,lin
岱,de
岳,ngoq
岳,yoq
岳,yuq
岵,wu
岷,min
岸,ngoe
岹,diau
岽,ton
岿,khue
峁,mau
峂,don
峃,ghoq
峄,yiq
峋,sin
峏,er
峒,don
峗,we
峘,woe
峙,zy
峛,li
峡,yaq
峡,ciaq
峡,kaq
峣,gniau
峤,jiau
峥,tsen
峦,loe
峧,ciau
峧,kau
峨,ngu
峪,ioq
峬,pu
峭,tshiau
峯,fon
峰,fon
峱,nau
峴,yi
島,tau
峻,tsin
峻,tsiun
峽,yaq
峽,ciaq
峽,kaq
峿,ngu
崀,laon
崁,khe
崂,lau
崃,le
崄,shi
崆,khon
崇,zon
崌,ciu
崍,le
崎,ji
崑,khuen
崒,tshoe
崒,ziq
崔,tshoe
崖,ya
崗,kaon
崙,len
崚,len
崛,jioq
崛,jiuq
崞,koq
崟,gnin
崠,ton
崡,ghe
崢,tsen
崤,yau
崦,i
崧,son
崩,pan
崩,pen
崬,ton
崭,tse
崭,ze
崮,ku
崴,ue
崶,fon
崽,tse
崾,yau
崿,ngoq
嵁,khoe
嵁,ze
嵅,ghoe
嵇,ci
嵊,zen
嵋,mi
嵋,me
嵌,khe
嵎,gniu
嵐,le
嵒,nge
嵖,zo
嵘,yon
嵙,khu
嵚,chin
嵛,yu
嵝,leu
嵤,yin
嵩,son
嵫,tsy
嵬,we
嵯,zu
嵲,gniq
嵴,tsiq
嵽,di
嵽,diq
嶁,leu
嶂,tsaon
嶄,tse
嶄,ze
嶅,ngau
嶇,chiu
嶍,ziq
嶒,zen
嶓,pu
嶔,chin
嶗,lau
嶙,lin
嶝,ten
嶟,tsen
嶠,jiau
嶢,gniau
嶦,tsoe
嶦,zoe
嶧,yiq
嶨,ghoq
嶮,shi
嶲,kue
嶲,si
嶲,zi
嶴,au
嶷,gni
嶷,gniq
嶸,yon
嶺,lin
嶼,yu
嶽,ngoq
嶽,yoq
嶽,yuq
巂,kue
巂,shi
巂,zi
巅,ti
巆,yin
巇,shi
巉,ze
巋,khue
巍,we
巒,loe
巓,ti
巔,ti
巖,nge
巘,gni
巛,khuen
巛,tshoe
巜,kue
川,tshoe
州,tseu
州長,tseu tsan
州长,tseu tsan
巡,zhiun
巡,zin
巡更,zhiun kan
巡更,zin kan
巢,zau
巢,ziau
工,kon
工行,kon ghaon
工長,kon tsan
工长,kon tsan
左,tsu
左,tsi
巧,chiau
巨,jiu
巩,kon
巫,wu
差,tsha
差,tsho
差,tshy
差可,tsho khu
差在,tsho ze
差役,tsho yoq
差役,tsho yuq
差扳,tsho pe
差誤,tsho ngu
差误,tsho ngu
差餉,tsho sian
差饷,tsho sian
巯,jieu
巰,jieu
己,ci
已,i
巳,zy
巴,pa
巴,po
巴乌,po u
巴勿扎得,po veq tsaq teq
巴勿紮得,po veq tsaq teq
巴望,po maon
巴烏,po u
巵,tsy
巷,ghaon
巹,cin
巽,sen
巾,cin
巿,feq
帀,tsaq
币,bi
市,zy
市長,zy tsan
市长,zy tsan
布,pu
帅,se
帆,ve
师,sy
师长,sy tsan
帉,fen
帋,tsy
希,shi
帏,we
帐,tsan
帑,thaon
帔,phi
帕,phaq
帖,thiq
帘,li
帙,zeq
帚,tseu
帛,baq
帜,tsy
帝,ti
帡,bin
帢,khaq
帥,se
带,ta
带,te
帧,tsen
帨,soe
師,sy
師長,sy tsan
席,ziq
帮,paon
帮个忙,paon gheq maon
帮了,paon leq
帱,dau
帱,zeu
帳,tsan
帶,ta
帶,te
帷,vi
常,zan
帻,tseq
帼,koq
帽,mau
幀,tsen
幂,miq
幃,we
幄,oq
幅,foq
幌,huaon
幔,moe
幕,mu
幕,mo
幖,piau
幗,koq
幘,tseq
幛,tsaon
幞,voq
幟,tsy
幡,fe
幢,zaon
幣,bi
幨,tshoe
幪,mon
幫,paon
幫了,paon leq
幬,dau
幬,zeu
干,koe
干,ji
平,bin
平日,bin zeq
年,gni
年長,gni tsan
年长,gni tsan
并,bin
并,pin
并合,pin gheq
幷,pin
幸,yin
幹,koe
幺,iau
幻,ue
幼,ieu
幽,ieu
幾,ci
幾十,ci seq
广,kuaon
广,oe
庀,phi
庄,tsaon
庅,ma
庅,mu
庆,chin
庇,phi
庉,den
床,zaon
庋,kue
庎,ka
序,ziu
庐,lu
庑,vu
库,khu
应,in
底,ti
庖,bau
店,ti
店家,ti cia
店家,ti ka
店長,ti tsan
店长,ti tsan
庙,miau
庚,kan
府,fu
庞,baon
废,fi
庠,zian
庢,tseq
庤,zy
庥,shieu
度,doq
度,du
度假,du ka
度日,du gniq
度日,du zeq
度死,du si
度長絜大,doq zan yiq du
度长絜大,doq zan yiq du
座,zu
庫,khu
庭,din
庭長,din tsan
庭长,din tsan
庱,tshen
庳,bi
庵,oe
庶,sy
康,khaon
庸,yon
庹,thoq
庼,chin
庾,yu
廁,tshy
廂,sian
廄,cieu
廆,kue
廆,we
廈,gho
廈,sa
廈,shia
廉,li
廊,laon
廋,seu
廌,zy
廎,chin
廑,jin
廒,ngau
廓,khoq
廓,koq
廕,in
廖,liau
廙,yi
廚,zy
廚房間,zy vaon ke
廛,zoe
廝,sy
廞,shin
廟,miau
廠,tshan
廡,vu
廢,fi
廣,kuaon
廨,ka
廩,lin
廪,lin
廬,lu
廱,ion
廳,thin
廳長,thin tsan
廴,yi
廴,yin
延,yi
廷,din
建,ci
廼,ne
廿,gnie
开,khe
开间,khe ke
弁,bi
异,yi
异行,yi ghaon
弃,chi
弄,lon
弄,lon
弄,non
弄,non
弄个,lon ku
弄個,lon ku
弄鬼,lon kue
弆,ciu
弇,i
弈,yiq
弊,bi
弋,yiq
式,seq
弑,sy
弒,sy
弓,kon
弔,tiau
弔孝,tiau hau
引,yin
弗,veq
弘,ghon
弛,zy
弟,di
张,tsan
弢,thau
弥,mi
弦,yi
弦乐,yi yaq
弧,wu
弨,tshau
弩,nu
弭,mi
弯,ue
弱,zaq
張,tsan
弶,jian
強,jian
強,chian
強度,jian du
弸,pan
弹,de
强,jian
强,chian
强咽,jian i
强度,jian du
弼,biq
彀,keu
彄,kheu
彆,biq
彈,de
彊,chian
彊,cian
彊,jian
彌,mi
彎,ue
彐,ci
彑,ci
归,kue
归家,kue cia
当,taon
当个,taon ku
当家,taon cia
当家,taon ka
彔,loq
录,loq
彖,thoe
彗,we
彘,zy
彙,we
彝,yi
彟,weq
彠,weq
彡,se
彡,si
形,yin
彤,don
彥,yi
彦,yi
彧,ioq
彩,tshe
彪,piau
彫,tiau
彬,pin
彭,ban
彰,tsaon
影,in
彳,tsheq
彷,baon
役,yoq
役,yuq
彻,tsheq
彼,pe
彼,pi
彿,veq
往,uaon
往家,uaon cia
征,tsen
徂,zu
径,cin
待,de
徇,zhion
徇,zhiun
徇,zin
很,hen
徉,yan
徊,we
律,liq
後,gheu
後個,gheu ku
後日天,gheu gniq thi
後生,gheu san
徐,zi
徑,cin
徒,du
徕,le
得,teq
徘,be
徙,si
徛,chi
徛,ci
徛,ji
徜,zaon
從,zon
從,tshon
從容,tshon yon
徠,le
御,gniu
徨,waon
復,voq
復,foq
循,zhiun
循,zin
徭,yau
微,vi
徵,tsen
德,teq
徹,tsheq
徼,ciau
徽,hue
心,sin
忄,sin
必,piq
忆,i
忉,tau
忌,ji
忍,zen
忍,gnin
忏,tshe
忐,the
忑,theq
忒,theq
忒大,theq du
忖,tshen
志,tsy
忘,waon
忘,maon
忘記心,maon ci sin
忘記脫,maon ci theq
忘记心,maon ci sin
忘记脱,maon ci theq
忙,maon
忝,thi
忞,min
忞,ven
忠,tson
忠牲,tson san
忡,tshon
忤,ng
忤,wu
忧,ieu
忪,tson
忪,son
快,khua
忭,bi
忮,tsy
忱,zen
忳,den
忳,tsen
念,gni
念,gnie
忸,gnioq
忸,gnieu
忺,shi
忻,shin
忽,hoq
忾,khe
忿,fen
忿,ven
怀,we
怀,wa
怀古,wa ku
怀念,wa gni
怀恨,wa ghen
怀抱,wa bau
怀揣,wa tshoe
怀旧,wa jieu
怀疑,wa gni
怀疑伊呢,wa gni yi ne
怀胎,wa the
怀表,wa piau
态,the
怂,son
怃,vu
怄,eu
怅,tshan
怆,tshaon
怊,tshau
怍,zoq
怎,tsen
怎么样,tsen moq yan
怎麼樣,tsen moq yan
怏,ian
怒,nu
怔,tsen
怕,pho
怕,pha
怕生,pho san
怖,pu
怙,wu
怛,taq
怜,li
思,sy
怠,de
怡,yi
急,ciq
怦,phen
性,sin
怨,ioe
怨望,ioe waon
怨鬼,ioe kue
怩,gni
怪,kua
怫,vi
怫,veq
怯,chiq
怯,chiaq
怱,tshon
怴,shioq
怴,shiuq
怵,tshoq
总,tson
总个,tson gheq
总行,tson ghaon
怼,de
怿,yiq
恁,nen
恁,gnin
恂,sin
恃,zy
恆,ghen
恆生,ghen san
恋,li
恍,huaon
恐,khon
恒,ghen
恒生,ghen san
恔,ciau
恔,ghau
恕,sy
恘,chieu
恙,yan
恚,ue
恝,kaq
恢,hue
恣,tsy
恤,shioq
恤,shiuq
恤,siq
恥,tshy
恧,gnioq
恨,ghen
恩,en
恪,khoq
恫,don
恬,di
恭,kon
息,siq
恰,chiaq
恰,khaq
恳,khen
恶,oq
恶,u
恶死做,oq si tsu
恶鬼,oq kue
恸,don
恹,i
恺,khe
恻,tsheq
恼,nau
恽,ion
恽,iun
恿,ion
悃,khuen
悄,tshiau
悅,yoq
悅,yuq
悆,yu
悈,ka
悉,siq
悌,di
悍,ghoe
悒,iq
悔,hue
悖,be
悚,son
悛,tshi
悝,li
悟,ngu
悠,ieu
悢,lian
患,we
患,ue
悦,yoq
悦,yuq
您,gnin
悫,khoq
悬,yoe
悭,chi
悯,min
悰,zon
悱,fi
悲,pe
悴,zoe
悵,tshan
悶,men
悸,ci
悻,yin
悼,dau
悽,tshi
情,zin
情分,zin ven
惆,tsheu
惇,ten
惊,cin
惊呆,cin te
惋,uoe
惎,ji
惑,ghoq
惔,de
惕,thiq
惘,maon
惙,tsheq
惙,tshoe
惚,hueq
惛,huen
惜,siq
惝,thaon
惝,tshaon
惟,vi
惠,we
惡,oq
惡,u
惡死做,oq si tsu
惡鬼,oq kue
惦,ti
惧,jiu
惨,tshoe
惩,zen
惫,be
惬,chiaq
惭,ze
惮,de
惯,kue
惰,du
惱,nau
惲,ion
惲,iun
想,sian
想个,sian gheq
想个,sian ku
惴,tsoe
惶,waon
惹,za
惺,sin
惻,tsheq
愀,tshiau
愁,zeu
愃,shioe
愆,chi
愈,yu
愉,yu
愍,min
愎,biq
意,i
愐,mi
愔,in
愕,ngoq
愚,yu
愛,e
愜,chiaq
感,koe
愠,ion
愠,iun
愣,len
愤,ven
愤,fen
愦,kue
愧,gue
愫,su
愭,ji
愴,tshaon
愷,khe
愾,khe
愿,gnioe
愿望,gnioe waon
慄,liq
慆,thau
慇,in
慈,zy
慊,chi
態,the
慌,huaon
慍,ion
慍,iun
慎,zen
慑,seq
慕,mu
慕,mo
慘,tshoe
慚,ze
慝,theq
慟,don
慢,me
慢咽,me i
慣,kue
慤,khoq
慥,tshau
慧,we
慨,khe
慪,eu
慫,son
慬,cin
慬,jin
慭,gnin
慮,liu
慰,ue
慳,chi
慵,yon
慶,chin
慷,khaon
慼,tshiq
慾,yoq
慾,yuq
慾望,yoq waon
慾望,yuq waon
憂,ieu
憊,be
憋,biq
憎,tsen
憎恶,tsen u
憎惡,tsen u
憐,li
憑,bin
憔,ziau
憕,ten
憖,gnin
憗,gnin
憙,shi
憚,de
憝,de
憤,ven
憤,fen
憦,lau
憧,tshon
憨,hoe
憩,chi
憫,min
憬,cin
憭,liau
憮,vu
憲,shi
憶,i
憷,tshy
憺,de
憾,ghoe
憾,hoe
懂,ton
懂行,ton ghaon
懃,jin
懇,khen
懈,ga
懈,ye
懈聞,ga men
懈闻,ga men
應,in
懊,au
懋,mau
懌,yiq
懍,lin
懑,men
懒,le
懔,lin
懛,te
懞,mon
懟,de
懣,men
懦,nu
懨,i
懲,zen
懵,mon
懵,maon
懶,le
懷,we
懷,wa
懷古,wa ku
懷念,wa gni
懷恨,wa ghen
懷抱,wa bau
懷揣,wa tshoe
懷疑,wa gni
懷疑伊呢,wa gni yi ne
懷胎,wa the
懷舊,wa jieu
懷錶,wa piau
懸,yoe
懺,tshe
懼,jiu
懾,seq
懿,yi
戀,li
戆,gaon
戆大,gaon du
戇,gaon
戇大,gaon du
戈,ku
戊,wu
戋,ze
戌,siq
戍,su
戍,sy
戎,gnion
戎,zon
戏,shi
成,zen
成分,zen ven
成行,zen ghaon
成行,zen yin
成長,zen tsan
成长,zen tsan
我,ngu
我,nku
我个,ngu gheq
戒,ka
戒,cia
戕,zian
或,ghoq
戗,tshian
战,tsoe
戚,tshiq
戛,kaq
戟,ciq
戡,khe
戢,tseq
戣,gue
戤,ge
戥,ten
戧,tshian
戩,tsi
截,ziq
戬,tsi
戭,yi
戮,loq
戰,tsoe
戲,shi
戳,tshoq
戴,ta
戴,te
戴孝,ta hau
戴高乐,te kau loq
戴高樂,te kau loq
戶,wu
戶長,wu tsan
户,wu
户长,wu tsan
戸,wu
戽,hu
戾,li
房,vaon
房,faon
所,su
所長,su tsan
所长,su tsan
扁,pi
扁,phi
扁舟,phi tseu
扁長,pi tsan
扁长,pi tsan
扂,di
扃,cion
扅,yi
扆,i
扇,soe
扈,wu
扉,fi
扊,yi
手,seu
手生,seu san
扌,seu
才,ze
扎,tsaq
扑,phoq
扒,bo
打,tan
打个,tan ku
打中覺,tan tson kau
打中觉,tan tson kau
打仗,tan tsan
打個,tan ku
打叉,tan tsha
打声,tan san
打耳光,tan gni kuaon
打聲,tan san
扔,len
托,thoq
托交,thoq kau
扚,tiq
扛,kaon
扞,ghoe
扡,tshi
扣,kheu
扣脱个,kheu theq gheq
扦,tshi
执,tseq
扩,khueq
扩大,khueq du
扪,men
扫,sau
扬,yan
扭,gnieu
扮,pe
扯,tsha
扰,gniau
扰,zau
扰乱,zau loe
扰动,zau don
扰闹,zau nau
扳,pe
扶,vu
批,phi
扺,tsy
扼,ngeq
找,tsau
找个,tsau ku
找個,tsau ku
承,zen
承望,zen waon
技,ji
抃,bi
抄,tshau
抈,ioq
抈,iuq
抉,cioq
抉,ciuq
把,po
把,pa
抑,iq
抒,sy
抒怀,sy wa
抒懷,sy wa
抓,tsa
抓,tsau
抓,tso
抔,beu
投,deu
投降,deu ghaon
抖,teu
抖个,teu ku
抖個,teu ku
抗,khaon
抗日,khaon zeq
折,tseq
折,zeq
折本,zeq pen
抚,vu
抚,wu
抛,phau
抟,doe
抠,kheu
抠耳朵,kheu gni tu
抡,len
抢,tshian
抢家当,tshian ka taon
护,wu
报,pau
抨,phen
披,phi
抬,de
抱,bau
抲,kho
抲,hu
抲,wu
抳,gni
抵,ti
抹,meq
抻,tshen
押,aq
抽,tsheu
抿,min
拂,veq
拃,tse
拄,tsy
担,te
拆,tshaq
拆,tsheq
拇,m
拇,mu
拈,gni
拉,la
拉,la
拉,laq
拉長,la tsan
拉長,la zan
拉长,la tsan
拉长,la zan
拊,vu
拋,phau
拌,boe
拍,phaq
拎,lin
拏,ne
拏,na
拏,nau
拏,no
拐,kua
拒,jiu
拓,thoq
拓,thaq
拓扁头,thaq pi deu
拔,baq
拖,thu
拖,tha
拖下來,tha gho le
拖下去,tha gho chi
拖下去,thu gho chi
拖下来,tha gho le
拖舌头,tha zeq deu
拖舌頭,tha zeq deu
拖鼻涕,tha biq thi
拗,au
拘,ciu
拙,tseq
拙,tsoq
拚,phin
拚,fe
拚,fen
拚,pe
招,tsau
招降,tsau ghaon
招風耳朵,tsau fon gni tu
招风耳朵,tsau fon gni tu
拜,pa
拟,gni
拢,lon
拣,ke
拣,ci
拤,chia
拥,ion
拦,le
拧,gnin
拨,peq
拨交,peq kau
择,zeq
括,kuaq
拭,seq
拮,ciq
拯,tsen
拱,kon
拳,jioe
拴,soe
拶,tseq
拷,khau
拼,phin
拼,fe
拼,fen
拼,pe
拼个,phin gheq
拽,tse
拽,yiq
拾,zeq
拾,ziq
拾起來,ziq chi le
拾起来,ziq chi le
拿,ne
拿,na
拿,no
拿,na
拿,no
拿大,na da
拿娜,na na
拿手,na seu
拿手,no seu
拿点,na ti
拿点,ne ti
拿點,na ti
拿點,ne ti
持,zy
挂,ko
挂,kua
挂孝,ko hau
挂怀,ko wa
指,tsy
挈,chiq
按,oe
挎,kho
挎,khu
挐,ne
挐,na
挐,nau
挐,no
挐,zy
挑,thiau
挖,uaq
挖耳,uaq gni
挚,tsy
挛,loe
挜,o
挜死空,o si khon
挝,u
挝,tso
挞,daq
挟,ciq
挠,gniau
挡,taon
挢,jiau
挣,tsen
挤,tsi
挥,hue
挦,zin
挨,e
挨,a
挨,nga
挨,nka
挨一挨二,a iq a gni
挨下來,a gho le
挨下来,a gho le
挨个,e ku
挨個,e ku
挨勿,a veq
挨肩擦背,a ci tshaq pe
挨苦,nga khu
挨辰光,nga zen kuaon
挪,na
挪,no
挫,tshu
挬,beq
挭,gan
挭,kan
振,tsen
挱,so
挱,sa
挱,su
挲,so
挲,su
挲,sa
挶,jioq
挹,iq
挺,thin
挼,lu
挽,ue
挾,ciq
捂,u
捃,cion
捃,ciun
捅,thon
捆,khuen
捉,tsoq
捉拿,tsoq na
捋,leq
捌,paq
捍,ghoe
捎,sau
捎,siau
捎耳朵,sau gni tu
捏,gniaq
捐,cioe
捒,seu
捒,son
捒,soq
捕,bu
捘,tsen
捞,lau
损,sen
捡,tsi
换,woe
换个,woe ku
换行,woe ghaon
换行,woe yin
捣,tau
捣鬼,tau kue
捥,ioq
捥,iuq
捥,uoe
捧,phon
捨,so
捩,liq
捫,men
捭,pa
据,ciu
捯,tau
捱,nga
捱,nka
捲,cioe
捶,te
捶,zoe
捷,ziq
捹,ben
捺,naq
捻,gni
掀,shi
掀,shin
掂,ti
掃,sau
掄,len
掇,teq
授,zeu
掉,diau
掊,be
掌,tsaon
掎,ci
掏,dau
掏,thau
掐,khaq
排,ba
排行,ba ghaon
排長,ba tsan
排长,ba tsan
掖,yiq
掗,o
掗死空,o si khon
掘,jioq
掘,jiuq
掙,tsen
掛,ko
掛,kua
掛孝,ko hau
掛懷,ko wa
掞,soe
掞,yi
掠,liaq
採,tshe
探,thoe
探家,thoe cia
探長,thoe tsan
探长,thoe tsan
掣,tsheq
接,tsiq
接生,tsiq san
控,khon
推,the
推个,the gheq
推拿,the na
推敲,the chiau
掩,i
措,tshu
措,zaq
掬,cioq
掬,ciuq
掭,thi
掮,ji
掯,khen
掰,pe
掳,lu
掴,kuaq
掴耳光,kuaq gni kuaon
掷,zaq
掷,zeq
掸,te
掸,toe
掺,tshe
掺,se
掺,tshoe
掼,gue
掼家掼生,gue ka gue san
掽,phan
掾,yoe
揀,ke
揀,ci
揂,zeu
揄,yu
揆,gue
揉,zeu
揉,leu
揍,tseu
揎,shioe
揎,si
描,miau
提,di
提个,di ku
提交,di kau
提個,di ku
插,tshaq
揖,iq
揚,yan
換,woe
換個,woe ku
換行,woe ghaon
換行,woe yin
揝,tsaq
揝,tsoe
揞,oe
揠,aq
握,oq
揢,khaq
揢,kho
揢魚,kho ng
揢鱼,kho ng
揣,tshoe
揩,kha
揪,tsieu
揪,tshieu
揭,ciq
揮,hue
揳,siq
援,yoe
援交,yoe kau
揵,ji
揶,ya
揸,tsa
揸,tso
揹,pe
揽,le
揾,uen
揿,chin
搀,tshe
搁,koq
搁,goq
搁下来,goq gho le
搁牢,goq lau
搁落三姆,goq loq se m
搂,leu
搅,kau
搅,ciau
搅,gau
搇,chin
搋,tsha
搌,tsoe
損,sen
搏,poq
搐,tshoq
搒,ban
搒,paon
搓,tshu
搓,tsho
搓麻将,tsho mo tsian
搓麻將,tsho mo tsian
搔,tsau
搕,iq
搕,kheq
搖,yau
搖尾巴,yau gni po
搖尾巴,yau mi po
搗,tau
搗鬼,tau kue
搛,ci
搜,seu
搞,gau
搞七念三,gau tshiq gnie se
搞鬼,gau kue
搠,soq
搡,saon
搣,miq
搥,te
搥,zoe
搦,noq
搧,soe
搨,thaq
搪,daon
搬,poe
搬家,poe cia
搬家,poe ka
搭,taq
搯,thau
搲,o
搳,huaq
搴,chi
搶,tshian
搶家當,tshian ka taon
携,yi
搽,zo
搿,geq
搿个,geq gheq
搿能个,geq nen gheq
摀,u
摁,en
摃,kaon
摄,seq
摅,tshy
摆,pa
摆明垃个,pa min laq gheq
摇,yau
摇尾巴,yau gni po
摇尾巴,yau mi po
摈,pin
摊,the
摎,ciau
摎,cieu
摎,lieu
摏,tshon
摑,kuaq
摑耳光,kuaq gni kuaon
摒,pin
摔,se
摔个,se ku
摔個,se ku
摘,tiq
摘,tseq
摛,tshy
摜,gue
摜家摜生,gue ka gue san
摞,lu
摟,leu
摣,tso
摥,thaon
摧,tshoe
摩,mu
摩,mo
摭,tsaq
摯,tsy
摳,kheu
摳耳朵,kheu gni tu
摴,tshy
摶,doe
摷,liau
摸,moq
摹,mo
摹,mu
摺,tseq
摻,tshe
摻,se
摻,tshoe
摽,biau
摽,piau
撂,liau
撄,in
撅,jioq
撅,jiuq
撇,phiq
撈,lau
撏,zin
撐,tshan
撐大,tshan du
撑,tshan
撑大,tshan du
撒,sa
撒,saq
撓,gniau
撕,sy
撖,ghe
撙,tsen
撚,gni
撝,hue
撞,zaon
撟,jiau
撢,te
撢,toe
撣,te
撣,toe
撤,tsheq
撥,peq
撥交,peq kau
撩,liau
撩,liau
撫,vu
撫,wu
撬,chiau
播,pu
撮,tsheq
撮,tshoq
撰,zoe
撲,phoq
撳,chin
撵,gni
撷,yiq
撸,lu
撺,tshoe
撻,daq
撼,ghoe
撾,u
撾,tso
撿,tsi
擀,koe
擁,ion
擂,le
擄,lu
擅,zoe
擇,zeq
擉,tshoq
擊,ciq
擋,taon
操,tshau
擎,jin
擐,we
擒,jin
擒拿,jin na
擔,te
擗,biq
擗,phiq
擘,paq
據,ciu
擞,seu
擟,mi
擠,tsi
擡,de
擢,zoq
擣,tau
擤,hen
擦,tshaq
擪,iq
擬,gni
擯,pin
擰,gnin
擱,koq
擱,goq
擱下來,goq gho le
擱牢,goq lau
擱落三姆,goq loq se m
擲,zaq
擲,zeq
擴,khueq
擴大,khueq du
擷,yiq
擸,laq
擺,pa
擻,seu
擼,lu
擾,gniau
擾,zau
擾亂,zau loe
擾動,zau don
擾鬧,zau nau
擿,tiq
攀,phe
攀交,phe kau
攄,tshy
攆,gni
攉,hoq
攋,la
攎,lu
攏,lon
攒,tsoe
攒,zoe
攔,le
攖,in
攘,gnian
攙,tshe
攛,tshoe
攜,yi
攝,seq
攞,lu
攢,tsoe
攢,zoe
攣,loe
攤,the
攥,tseq
攪,kau
攪,ciau
攪,gau
攫,cioq
攫,ciuq
攬,le
攮,naon
支,tsy
支行,tsy ghaon
攲,chi
攲,ci
收,seu
攷,khau
攸,ieu
改,ke
改个,ke gheq
改行,ke ghaon
攻,kon
攽,pe
放,faon
政,tsen
敁,teq
敁,ti
故,ku
效,yau
敉,mi
敌,diq
敏,min
敏,min
救,cieu
敔,gniu
敕,tsheq
敖,ngau
敗,ba
敗仗,ba tsan
敘,ziu
教,ciau
教,kau
教下,kau gho
教书,kau sy
教出,kau tsheq
教書,kau sy
教正,kau tsen
教法,kau faq
敛,li
敛,hoe
敝,bi
敞,tshan
敠,teq
敢,koe
散,se
敦,ten
敨,theu
敩,ghoq
敫,ciau
敫,kau
敬,cin
数,su
数个,su ku
敲,khau
敲,chiau
整,tsen
整个,tsen ku
整個,tsen ku
整句輸入了,tsen ciu sy zeq leq
整句输入了,tsen ciu sy zeq leq
整日天,tsen gniq thi
整行,tsen ghaon
敵,diq
敷,fu
數,su
數個,su ku
斂,li
斃,bi
斅,yau
斆,ghoq
文,ven
斋,tsa
斋,tse
斌,pin
斐,fi
斑,pe
斓,le
斕,le
斖,men
斖,mi
斗,teu
斗大,teu du
料,liau
斛,ghoq
斜,zia
斝,ka
斟,tsen
斠,kau
斠,koq
斡,ueq
斡,kuoe
斤,cin
斥,tshaq
斥,tsheq
斥尿,tshaq sy
斧,fu
斩,tse
斫,tsoq
斬,tse
断,doe
断,toe
斯,sy
新,sin
新个,sin gheq
斲,tsoq
斶,tshoq
斷,doe
斷,toe
斸,zoq
方,faon
方家,faon cia
方家,faon ka
於,yu
於,iu
施,sy
旁,baon
旁敲,baon chiau
旃,tsoe
旄,mau
旅,liu
旅日,liu zeq
旅長,liu tsan
旅长,liu tsan
旆,be
旋,zi
旌,tsin
旎,gni
族,zoq
族長,zoq tsan
族长,zoq tsan
旐,zau
旒,lieu
旖,i
旗,ji
旞,zoe
无,wu
无度,wu du
无日,wu zeq
无望,wu waon
旡,ci
既,ci
旣,ci
日,gniq
日,zeq
日丽,zeq li
日产,zeq tshe
日人,zeq gnin
日你,zeq ni
日來,zeq le
日俄,zeq ngu
日元,zeq gnioe
日內,zeq ne
日全,zeq zi
日共,zeq gon
日内,zeq ne
